rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
239,frame_0203.jpg,81.2,0.2438,0.2315,0.0,0.64,3,0,False,False
240,frame_0102.jpg,40.8,0.2352,0.3474,0.125,0.12,3,1,False,False
241,frame_0190.jpg,76.0,0.2284,0.4089,0.0,0.12,3,0,False,False
242,frame_0323.jpg,129.2,0.2265,0.255,0.25,0.12,6,2,False,False
243,frame_0219.jpg,87.6,0.224,0.2449,0.125,0.32,3,1,False,False
244,frame_0372.jpg,148.8,0.2231,0.3232,0.125,0.12,7,1,False,False
245,frame_0204.jpg,81.6,0.2207,0.1693,0.0,0.68,2,0,False,False
246,frame_0180.jpg,72.0,0.2169,0.3268,0.125,0.08,4,1,False,False
247,frame_0172.jpg,68.8,0.2091,0.2581,0.0,0.4,6,0,False,False
248,frame_0271.jpg,108.4,0.2075,0.3239,0.125,0.04,3,1,False,False
249,frame_0221.jpg,88.4,0.2062,0.2414,0.125,0.24,6,1,False,False
250,frame_0310.jpg,124.0,0.2041,0.2262,0.25,0.08,5,2,False,False
251,frame_0267.jpg,106.8,0.2021,0.2813,0.125,0.12,4,1,False,False
252,frame_0093.jpg,37.2,0.1835,0.1959,0.125,0.24,5,1,False,False
253,frame_0325.jpg,130.0,0.1598,0.2287,0.125,0.04,4,1,False,False
254,frame_0197.jpg,78.8,0.1401,0.1202,0.0,0.4,1,0,False,False
255,frame_0324.jpg,129.6,0.1277,0.2234,0.0,0.08,3,0,False,False
256,frame_0110.jpg,44.0,0.1189,0.1897,0.0,0.12,3,0,False,False
